id_set_1	id_set_2	dummy_field	name_set_1	name_set_2
48604	18617	dummy_value	long+road+out+of+eden_20659173.html	desperado_20044565.html
41568	31937	dummy_value	is+your+mama+gonna+miss+ya_20025630.html	heartbreaker_20101089.html
24921	21583	dummy_value	fighting+spirit_20708313.html	driver+8_20065911.html
18616	12624	dummy_value	desperado_20027510.html	candy+store+rock_20081889.html
53964	25048	dummy_value	mr+bad+guy_10237123.html	fine+knacks+for+ladies_20535329.html
42939	4856	dummy_value	jaynes+blue+wish_20679065.html	another+mans+vine_20463916.html
20890	5280	dummy_value	doolin+daltondesperado+reprise_20044421.html	archive.html
26929	26926	dummy_value	frosty+the+snowman_20200808.html	frosty+the+snowman_20200801.html
29064	18622	dummy_value	going+to+california_20081904.html	desperado_20186820.html
31881	17289	dummy_value	heartache+tonight_20044506.html	daisy+summer+piper_20075458.html
33271	15750	dummy_value	higher+ground_20114860.html	communication+breakdown_20170695.html
37618	37617	dummy_value	i+think+i+see+the+light_20707760.html	i+think+i+see+the+light_20028144.html
52606	5613	dummy_value	midsummer+morning_20075473.html	as+ugly+as+i+seem_10187182.html
13900	2199	dummy_value	cheater+demo_20167611.html	after+the+thrill+is+gone_20044526.html
17985	17983	dummy_value	dead+flowers_20180378.html	dead+flowers_20117890.html
56581	40586	dummy_value	no+quarter_20082170.html	in+my+time+of+dying_20279881.html
31419	23788	dummy_value	have+you+seen+the+bright+lily+grow_20535331.html	eyeball+kid_20138870.html
71846	50584	dummy_value	subway_20522804.html	lyin+eyes_20044572.html
26454	15165	dummy_value	franks+theme_20138843.html	cold+water_20138868.html
56831	80	dummy_value	nobodys+fault+but+mine_20062498.html	1000000_20115204.html
49288	49286	dummy_value	love+can+build+a+bridge_20613053.html	love+can+build+a+bridge_20247638.html
33069	21829	dummy_value	hey+you_20649979.html	dyer+maker_20082147.html
40767	33272	dummy_value	in+the+mood_20030045.html	higher+ground_20131813.html
75042	29064	dummy_value	the+flowers+of+guatemala_20115263.html	going+to+california_20081904.html
64782	32952	dummy_value	royal+orleans_20082008.html	hey+hey+what+can+i+do_20082177.html
55829	13589	dummy_value	new+kid+in+town_20044484.html	chained+to+the+wheel_20073594.html
59347	27067	dummy_value	orestes_20502682.html	funky+new+year_20197354.html
74323	15748	dummy_value	the+best+of+my+love_20044579.html	communication+breakdown_20082146.html
27316	1911	dummy_value	garth+brooks+christmas+the+gift_20826289.html	achilles+last+stand_20081878.html
42598	18621	dummy_value	ive+got+a+good+thing+going_20058014.html	desperado_20186819.html
52647	34940	dummy_value	miles+away_20736665.html	human+nature_20086836.html
31419	4856	dummy_value	have+you+seen+the+bright+lily+grow_20535331.html	another+mans+vine_20463916.html
60846	8394	dummy_value	picture+in+a+frame_20138877.html	best+of+my+love_20809640.html
50391	146	dummy_value	lowdown_20724803.html	16+shells+from+a+thirty+ought+six_20138946.html
38315	38313	dummy_value	i+wont+last+a+day+without+you_20699679.html	i+wont+last+a+day+without+you_20040403.html
54184	48147	dummy_value	muli_21102845.html	livin+in+the+life_20792014.html
28532	28530	dummy_value	glorious_20807767.html	glorious_20626632.html
79514	79513	dummy_value	troublemaker_21049361.html	troublemaker_21046266.html
27067	3464	dummy_value	funky+new+year_20197354.html	all+the+time_20679093.html
20996	6182	dummy_value	down+by+the+seaside_20081995.html	babe+im+gonna+leave+you_20082081.html
40869	80	dummy_value	in+this+life_20086850.html	1000000_20115204.html
83617	83616	dummy_value	who+is+like+the+lord_21084166.html	who+is+like+the+lord_20816669.html
43128	30774	dummy_value	jesus+gonna+be+here_20138811.html	hang+down+your+head_20138923.html
2477	2469	dummy_value	aint+nuthin+like+pimpin_20548042.html	aint+nothing+like+pimpin_20281582.html
32462	32451	dummy_value	help_21069130.html	help_10026477.html
52606	18619	dummy_value	midsummer+morning_20075473.html	desperado_20186817.html
52606	18616	dummy_value	midsummer+morning_20075473.html	desperado_20027510.html
1609	1608	dummy_value	a+tear+fell_20990648.html	a+tear+fell_20618783.html
52606	18617	dummy_value	midsummer+morning_20075473.html	desperado_20044565.html
18117	12618	dummy_value	dear+jessie_20086912.html	candy+perfume+girl_20086951.html
85007	71169	dummy_value	yet+still+i+rise_20531693.html	still+i+rise_20319407.html
